season,player,team,pass_yards
2000,Akili Smith,CIN,1253
2000,Kordell Stewart,PIT,1860
2000,Vinny Testaverde,NYJ,3732
2000,Alex Van Pelt,BUF,67
2000,Kurt Warner,STL,3429
2000,Anthony Wright,DAL,237
2000,Danny Wuerffel,GB,0
2000,Eric Zeier,TB,19
2000,Doug Johnson,ATL,406
2000,Travis Brown,SEA,0
2000,Kevin Thompson,CLE,8
2000,Clint Stoerner,DAL,53
2000,Spergon Wynn,CLE,167
2000,Chad Pennington,NYJ,67
2000,Joe Hamilton,TB,0
2000,Tom Brady,NE,6
2000,Todd Husak,WAS,-2
2000,Tim Rattay,SF,-4
2000,Jarious Jackson,DEN,0
2000,Chris Redman,BAL,19
2001,Tony Banks,WAS,2386
2001,Charlie Batch,DET,2392
2001,Jeff Blake,NO,0
2001,Drew Bledsoe,NE,400
2001,Todd Bouman,MIN,795
2001,Aaron Brooks,NO,3832
2001,Mark Brunell,JAC,3309
2001,Chris Chandler,ATL,2847
2001,Kerry Collins,NYG,3764
2001,Todd Collins,KC,40
2001,Tim Couch,CLE,3040
2001,Dameyune Craig,CAR,34
2001,Daunte Culpepper,MIN,2612
2001,Randall Cunningham,BAL,573
2001,Koy Detmer,PHI,51
2001,Ty Detmer,DET,906
2001,Trent Dilfer,SEA,1014
2001,Brett Favre,GB,3921
2001,Jay Fiedler,MIA,3248
2001,Doug Flutie,SD,3464
2001,Gus Frerotte,DEN,308
2001,Rich Gannon,OAK,3828
2001,Jeff Garcia,SF,3538
2001,Jeff George,WAS,168
2001,Kent Graham,WAS,131
2001,Elvis Grbac,BAL,3033
2001,Trent Green,KC,3783
2001,Brian Griese,DEN,2827
2001,Matt Hasselbeck,SEA,2023
2001,Kelly Holcomb,CLE,114
2001,Brock Huard,SEA,127
2001,Brad Johnson,TB,3406
2001,Rob Johnson,BUF,1465
2001,Shaun King,TB,210
2001,Jon Kitna,CIN,3216
2001,Ryan Leaf,DAL,494
2001,Ray Lucas,MIA,45
2001,Matt Lytle,CAR,133
2001,Tommy Maddox,PIT,154
2001,Peyton Manning,IND,4131
2001,Jamie Martin,STL,22
2001,Shane Matthews,CHI,694
2001,Donovan McNabb,PHI,3233
2001,Steve McNair,TEN,3350
2001,Jim Miller,CHI,2299
2001,Scott Mitchell,CIN,38
2001,Neil O'Donnell,TEN,496
2001,Doug Pederson,GB,0
2001,Jake Plummer,ARI,3653
2001,Jonathan Quinn,JAC,361
2001,Mark Rypien,IND,57
2001,Akili Smith,CIN,37
2001,Kordell Stewart,PIT,3109
2001,Vinny Testaverde,NYJ,2752
2001,Alex Van Pelt,BUF,2056
2001,Kurt Warner,STL,4830
2001,Anthony Wright,DAL,529
2001,Danny Wuerffel,CHI,0
2001,Billy Volek,TEN,0
2001,Doug Johnson,ATL,23
2001,Travis Brown,BUF,201
2001,Clint Stoerner,DAL,314
2001,Spergon Wynn,MIN,418
2001,Chad Pennington,NYJ,92
2001,Tom Brady,NE,2843
2001,Tim Rattay,SF,21
2001,Tee Martin,PIT,0
2001,Jarious Jackson,DEN,73
2001,Tory Woodbury,NYJ,0
2001,Mike Vick,ATL,785
2001,A.J. Feeley,PHI,143
2001,Mike McMahon,DET,671
2001,Quincy Carter,DAL,1072
2001,Marques Tuiasosopo,OAK,34
2001,Chris Weinke,CAR,2931
2001,Drew Brees,SD,221
2002,Steve Beuerlein,DEN,925
2002,Jeff Blake,BAL,2084
2002,Drew Bledsoe,BUF,4359
2002,Todd Bouman,MIN,85
2002,Aaron Brooks,NO,3572
2002,Mark Brunell,TEN,2788
2002,Chris Chandler,CHI,1023
2002,Kerry Collins,NYG,4073
2002,Todd Collins,KC,73
2002,Tim Couch,CLE,2842
2002,Scott Covington,STL,7
2002,Daunte Culpepper,MIN,3853
2002,Jake Delhomme,NO,113
2002,Koy Detmer,PHI,224
2002,Trent Dilfer,SEA,1182
2002,Brett Favre,GB,3658
2002,Jay Fiedler,MIA,2024
2002,Doug Flutie,SD,64
2002,Gus Frerotte,CIN,437
2002,Rich Gannon,OAK,4689
2002,Jeff Garcia,SF,3344
2002,Trent Green,KC,3690
2002,Brian Griese,DEN,3214
2002,Matt Hasselbeck,SEA,3075
2002,Kelly Holcomb,CLE,790
2002,Damon Huard,NE,0
2002,Brad Johnson,TB,3049
2002,Rob Johnson,TB,536
2002,Shaun King,TB,80
2002,Jon Kitna,CIN,3178
2002,Ray Lucas,MIA,1045
2002,Tommy Maddox,PIT,2836
2002,Peyton Manning,IND,4200
2002,Jamie Martin,STL,1216
2002,Shane Matthews,WAS,1251
2002,Donovan McNabb,PHI,2289
2002,Steve McNair,TEN,3387
2002,Jim Miller,CHI,1944
2002,Neil O'Donnell,TEN,24
2002,Doug Pederson,GB,134
2002,Rodney Peete,CAR,2630
2002,Jake Plummer,ARI,2972
2002,Jonathan Quinn,KC,0
2002,Cory Sauter,CHI,59
2002,Akili Smith,CIN,117
2002,Kordell Stewart,PIT,1155
2002,Vinny Testaverde,NYJ,499
2002,Alex Van Pelt,BUF,5
2002,Kurt Warner,STL,1431
2002,Danny Wuerffel,WAS,719
2002,Doug Johnson,ATL,448
2002,Chad Pennington,NYJ,3120
2002,Tom Brady,NE,3764
2002,Marc Bulger,STL,1826
2002,Tim Rattay,SF,232
2002,Chris Redman,BAL,1034
2002,Henry Burris,CHI,207
2002,Tory Woodbury,NYJ,0
2002,Mike Vick,ATL,2936
2002,A.J. Feeley,PHI,1011
2002,Mike McMahon,DET,874
2002,Quincy Carter,DAL,1465
2002,Marques Tuiasosopo,OAK,0
2002,Chris Weinke,CAR,180
2002,Sage Rosenfels,MIA,0
2002,Jesse Palmer,NYG,30
2002,Drew Brees,SD,3284
2002,Chad Hutchinson,DAL,1555
2002,David Carr,HOU,2592
2002,Joey Harrington,DET,2294
2002,Josh McCown,ARI,66
2002,David Garrard,JAC,231
2002,Rohan Davey,NE,3
2002,Randy Fasani,CAR,171
2002,Patrick Ramsey,WAS,1539
2003,Tony Banks,HOU,693
2003,Charlie Batch,PIT,47
2003,Steve Beuerlein,DEN,389
2003,Jeff Blake,ARI,2252
2003,Drew Bledsoe,BUF,2860
2003,Todd Bouman,NO,81
2003,Aaron Brooks,NO,3546
2003,Mark Brunell,JAX,484
2003,Chris Chandler,CHI,1050
2003,Kerry Collins,NYG,3110
2003,Todd Collins,KC,74
2003,Tim Couch,CLE,1319
2003,Daunte Culpepper,MIN,3479
2003,Jake Delhomme,CAR,3219
2003,Koy Detmer,PHI,32
2003,Trent Dilfer,SEA,31
2003,Brett Favre,GB,3361
2003,Jay Fiedler,MIA,2138
2003,Doug Flutie,LAC,1097
2003,Gus Frerotte,MIN,690
2003,Rich Gannon,LV,1270
2003,Jeff Garcia,SF,2704
2003,Trent Green,KC,4039
2003,Brian Griese,MIA,813
2003,Matt Hasselbeck,SEA,3844
2003,Kelly Holcomb,CLE,1797
2003,Brock Huard,IND,22
2003,Damon Huard,NE,0
2003,Brad Johnson,TB,3821
2003,Rob Johnson,LV,93
2003,Danny Kanell,DEN,442
2003,Shaun King,TB,130
2003,Jon Kitna,CIN,3605
2003,Tommy Maddox,PIT,3414
2003,Peyton Manning,IND,4267
2003,Donovan McNabb,PHI,3223
2003,Steve McNair,TEN,3246
2003,Rick Mirer,LV,1267
2003,Neil O'Donnell,TEN,232
2003,Doug Pederson,GB,16
2003,Rodney Peete,CAR,19
2003,Jake Plummer,DEN,2183
2003,Kordell Stewart,CHI,1418
2003,Vinny Testaverde,NYJ,1385
2003,Alex Van Pelt,BUF,49
2003,Kurt Warner,LA,365
2003,Anthony Wright,BAL,1199
2003,Billy Volek,TEN,545
2003,Doug Johnson,ATL,1655
2003,Travis Brown,BUF,160
2003,Chad Pennington,NYJ,2139
2003,Tom Brady,NE,3620
2003,Marc Bulger,LA,3845
2003,Tim Rattay,SF,856
2003,Tee Martin,LV,69
2003,Jarious Jackson,DEN,41
2003,Chris Redman,BAL,58
2003,Tim Hasselbeck,WAS,1012
2003,Mike Vick,ATL,585
2003,Mike McMahon,DET,87
2003,Quincy Carter,DAL,3302
2003,Marques Tuiasosopo,LV,324
2003,Sage Rosenfels,MIA,50
2003,Jesse Palmer,NYG,532
2003,Drew Brees,LAC,2108
2003,Chad Hutchinson,DAL,8
2003,David Carr,HOU,2013
2003,Joey Harrington,DET,2880
2003,Josh McCown,ARI,1018
2003,David Garrard,JAX,86
2003,Rohan Davey,NE,31
2003,Kurt Kittner,ATL,391
2003,Patrick Ramsey,WAS,2169
2003,Dave Ragone,HOU,135
2003,Gibran Hamdan,WAS,7
2003,Rex Grossman,CHI,437
2003,Kyle Boller,BAL,1260
2003,Byron Leftwich,JAX,2819
2004,Tony Banks,HOU,16
2004,Jeff Blake,PHI,126
2004,Drew Bledsoe,BUF,2932
2004,Aaron Brooks,NO,3810
2004,Mark Brunell,WAS,1194
2004,Chris Chandler,LA,460
2004,Kerry Collins,LV,3495
2004,Todd Collins,KC,42
2004,Daunte Culpepper,MIN,4717
2004,Jake Delhomme,CAR,3886
2004,Koy Detmer,PHI,207
2004,Trent Dilfer,SEA,333
2004,Brett Favre,GB,4086
2004,Jay Fiedler,MIA,1186
2004,Doug Flutie,LAC,276
2004,Gus Frerotte,MIN,0
2004,Rich Gannon,LV,524
2004,Jeff Garcia,CLE,1731
2004,Trent Green,KC,4589
2004,Brian Griese,TB,2632
2004,Matt Hasselbeck,SEA,3390
2004,Kelly Holcomb,CLE,737
2004,Brad Johnson,TB,674
2004,Shaun King,ARI,502
2004,Jon Kitna,CIN,623
2004,Tommy Maddox,PIT,329
2004,Peyton Manning,IND,4557
2004,Jamie Martin,LA,188
2004,Shane Matthews,BUF,44
2004,Donovan McNabb,PHI,3875
2004,Steve McNair,TEN,1343
2004,Doug Pederson,GB,120
2004,Rodney Peete,CAR,3
2004,Jake Plummer,DEN,4089
2004,Jonathan Quinn,CHI,413
2004,Kordell Stewart,BAL,0
2004,Vinny Testaverde,DAL,3532
2004,Kurt Warner,NYG,2054
2004,Billy Volek,TEN,2485
2004,Doug Johnson,TEN,68
2004,Chad Pennington,NYJ,2673
2004,Tom Brady,NE,3690
2004,Marc Bulger,LA,3964
2004,Tim Rattay,SF,2169
2004,Mike Vick,ATL,2313
2004,A.J. Feeley,MIA,1893
2004,Mike McMahon,DET,77
2004,Quincy Carter,NYJ,498
2004,Sage Rosenfels,MIA,264
2004,Drew Brees,LAC,3159
2004,Chad Hutchinson,CHI,903
2004,David Carr,HOU,3539
2004,Joey Harrington,DET,3047
2004,Josh McCown,ARI,2511
2004,David Garrard,JAX,374
2004,Rohan Davey,NE,54
2004,Craig Nall,GB,314
2004,J.T. O'Sullivan,GB,0
2004,Patrick Ramsey,WAS,1665
2004,Carson Palmer,CIN,2897
2004,Chris Simms,TB,467
2004,Brooks Bollinger,NYJ,60
2004,Ken Dorsey,SF,1231
2004,Brian St. Pierre,PIT,0
2004,Rex Grossman,CHI,607
2004,Kyle Boller,BAL,2559
2004,Byron Leftwich,JAX,2941
2004,Drew Henson,DAL,78
2004,Cody Pickett,SF,55
2004,Jim Sorgi,IND,175
2004,Matt Schaub,ATL,329
2004,Eli Manning,NYG,1043
2004,Craig Krenzel,CHI,718
2004,John Navarre,ARI,168
2004,Luke McCown,CLE,608
2004,J.P. Losman,BUF,32
2004,Ben Roethlisberger,PIT,2621
2004,Philip Rivers,LAC,33
2005,Tony Banks,HOU,173
2005,Charlie Batch,PIT,246
2005,Jeff Blake,CHI,55
2005,Drew Bledsoe,DAL,3639
2005,Todd Bouman,NO,722
2005,Aaron Brooks,NO,2882
2005,Mark Brunell,WAS,3050
2005,Kerry Collins,LV,3759
2005,Todd Collins,KC,0
2005,Daunte Culpepper,MIN,1564
2005,Jake Delhomme,CAR,3421
2005,Koy Detmer,PHI,238
2005,Trent Dilfer,CLE,2321
2005,Brett Favre,GB,3892
2005,Jay Fiedler,NYJ,107
2005,Doug Flutie,NE,29
2005,Gus Frerotte,MIA,2996
2005,Jeff Garcia,DET,937
2005,Trent Green,KC,4014
2005,Brian Griese,TB,1136
2005,Matt Hasselbeck,SEA,3455
2005,Kelly Holcomb,BUF,1509
2005,Brad Johnson,MIN,1885
2005,Jon Kitna,CIN,99
2005,Tommy Maddox,PIT,406
2005,Peyton Manning,IND,3747
2005,Jamie Martin,LA,1277
2005,Donovan McNabb,PHI,2507
2005,Steve McNair,TEN,3161
2005,Jake Plummer,DEN,3366
2005,Kordell Stewart,BAL,0
2005,Vinny Testaverde,NYJ,777
2005,Kurt Warner,ARI,2713
2005,Anthony Wright,BAL,1582
2005,Billy Volek,TEN,474
2005,Chad Pennington,NYJ,530
2005,Tom Brady,NE,4110
2005,Marc Bulger,LA,2297
2005,Tim Rattay,SF,667
2005,Tim Hasselbeck,NYG,0
2005,Mike Vick,ATL,2412
2005,Mike McMahon,PHI,1158
2005,Marques Tuiasosopo,LV,124
2005,Chris Weinke,CAR,64
2005,Sage Rosenfels,MIA,462
2005,Drew Brees,LAC,3576
2005,David Carr,HOU,2488
2005,Quinn Gray,JAX,100
2005,Shaun Hill,MIN,0
2005,Joey Harrington,DET,2021
2005,Josh McCown,ARI,1832
2005,David Garrard,JAX,1117
2005,Patrick Ramsey,WAS,279
2005,Carson Palmer,CIN,3836
2005,Tony Romo,DAL,0
2005,Chris Simms,TB,2035
2005,Brooks Bollinger,NYJ,1558
2005,Kliff Kingsbury,NYJ,17
2005,Ken Dorsey,SF,481
2005,Seneca Wallace,SEA,173
2005,Rex Grossman,CHI,259
2005,Kyle Boller,BAL,1799
2005,Byron Leftwich,JAX,2123
2005,Cody Pickett,SF,140
2005,Jim Sorgi,IND,444
2005,Matt Mauck,TEN,136
2005,Bradlee Van Pelt,DEN,7
2005,Matt Schaub,ATL,495
2005,Eli Manning,NYG,3762
2005,John Navarre,ARI,174
2005,J.P. Losman,BUF,1340
2005,Ben Roethlisberger,PIT,2385
2005,Philip Rivers,LAC,115
2005,Marcus Randall,TEN,0
2005,Alex Smith,SF,875
2005,Aaron Rodgers,GB,65
2005,Charlie Frye,CLE,1002
2005,Kyle Orton,CHI,1869
2005,Dan Orlovsky,DET,63
2005,Matt Cassel,NE,183
2005,Ryan Fitzpatrick,LA,777
2006,Charlie Batch,PIT,477
2006,Drew Bledsoe,DAL,1164
2006,Aaron Brooks,LV,1105
2006,Mark Brunell,WAS,1789
2006,Kerry Collins,TEN,549
2006,Daunte Culpepper,MIA,929
2006,Jake Delhomme,CAR,2805
2006,Brett Favre,GB,3885
2006,Gus Frerotte,LA,27
2006,Jeff Garcia,PHI,1309
2006,Trent Green,KC,1342
2006,Brian Griese,CHI,220
2006,Matt Hasselbeck,SEA,2442
2006,Damon Huard,KC,1878
2006,Brad Johnson,MIN,2750
2006,Jon Kitna,DET,4208
2006,Peyton Manning,IND,4397
2006,Jamie Martin,NO,208
2006,Donovan McNabb,PHI,2612
2006,Steve McNair,BAL,3050
2006,Jake Plummer,DEN,1994
2006,Vinny Testaverde,NE,29
2006,Kurt Warner,ARI,1377
2006,Anthony Wright,CIN,31
2006,Billy Volek,LAC,4
2006,Chad Pennington,NYJ,3352
2006,Tom Brady,NE,3533
2006,Marc Bulger,LA,4301
2006,Tim Rattay,TB,748
2006,Mike Vick,ATL,2474
2006,A.J. Feeley,PHI,342
2006,Marques Tuiasosopo,LV,68
2006,Chris Weinke,CAR,625
2006,Sage Rosenfels,HOU,265
2006,Drew Brees,NO,4424
2006,Cleo Lemon,MIA,412
2006,David Carr,HOU,2765
2006,Quinn Gray,JAX,166
2006,Joey Harrington,MIA,2236
2006,Josh McCown,DET,0
2006,David Garrard,JAX,1735
2006,Patrick Ramsey,NYJ,0
2006,Carson Palmer,CIN,4036
2006,Tony Romo,DAL,2903
2006,Chris Simms,TB,585
2006,Brooks Bollinger,MIN,146
2006,Ken Dorsey,CLE,0
2006,Seneca Wallace,SEA,927
2006,Rex Grossman,CHI,3197
2006,Kyle Boller,BAL,485
2006,Byron Leftwich,JAX,1158
2006,Jared Lorenzen,NYG,0
2006,Matt Schaub,ATL,208
2006,Eli Manning,NYG,3244
2006,J.P. Losman,BUF,3050
2006,Ben Roethlisberger,PIT,3528
2006,Philip Rivers,LAC,3387
2006,Alex Smith,SF,2901
2006,Aaron Rodgers,GB,46
2006,Jason Campbell,WAS,1297
2006,Charlie Frye,CLE,2449
2006,Andrew Walter,LV,1677
2006,Derek Anderson,CLE,793
2006,Matt Cassel,NE,32
2006,Ryan Fitzpatrick,LA,0
2006,Brett Basanez,CAR,56
2006,Vince Young,TEN,2199
2006,Matt Leinart,ARI,2542
2006,Jay Cutler,DEN,1001
2006,Kellen Clemens,NYJ,0
2006,Tarvaris Jackson,MIN,475
2006,Charlie Whitehurst,LAC,0
2006,Brodie Croyle,KC,23
2006,Ingle Martin,GB,0
2006,Bruce Gradkowski,TB,1661
2007,Charlie Batch,PIT,232
2007,Kerry Collins,TEN,531
2007,Todd Collins,WAS,888
2007,Daunte Culpepper,LV,1332
2007,Jake Delhomme,CAR,617
2007,Trent Dilfer,SF,1166
2007,Brett Favre,GB,4157
2007,Gus Frerotte,LA,1014
2007,Jeff Garcia,TB,2440
2007,Trent Green,MIA,987
2007,Brian Griese,CHI,1803
2007,Matt Hasselbeck,SEA,3966
2007,Kelly Holcomb,MIN,511
2007,Damon Huard,KC,2257
2007,Brad Johnson,DAL,79
2007,Jon Kitna,DET,4066
2007,Peyton Manning,IND,4040
2007,Jamie Martin,NO,0
2007,Donovan McNabb,PHI,3324
2007,Steve McNair,BAL,1113
2007,Vinny Testaverde,CAR,936
2007,Kurt Warner,ARI,3409
2007,Anthony Wright,NYG,12
2007,Billy Volek,LAC,6
2007,Chad Pennington,NYJ,1766
2007,Tom Brady,NE,4806
2007,Marc Bulger,LA,2392
2007,Tim Rattay,ARI,164
2007,Chris Redman,ATL,1079
2007,Tim Hasselbeck,ARI,0
2007,A.J. Feeley,PHI,681
2007,Chris Weinke,SF,104
2007,Sage Rosenfels,HOU,1684
2007,Drew Brees,NO,4428
2007,Cleo Lemon,MIA,1773
2007,David Carr,CAR,635
2007,Quinn Gray,JAX,986
2007,Shaun Hill,SF,501
2007,Joey Harrington,ATL,2215
2007,Josh McCown,LV,1151
2007,David Garrard,JAX,2509
2007,Craig Nall,GB,88
2007,J.T. O'Sullivan,DET,148
2007,Patrick Ramsey,DEN,262
2007,Carson Palmer,CIN,4130
2007,Tony Romo,DAL,4211
2007,Brooks Bollinger,MIN,391
2007,Seneca Wallace,SEA,215
2007,Rex Grossman,CHI,1411
2007,Kyle Boller,BAL,1743
2007,Byron Leftwich,ATL,279
2007,Jared Lorenzen,NYG,28
2007,Jim Sorgi,IND,132
2007,Matt Schaub,HOU,2241
2007,Eli Manning,NYG,3336
2007,Luke McCown,TB,1009
2007,J.P. Losman,BUF,1204
2007,Ben Roethlisberger,PIT,3158
2007,Philip Rivers,LAC,3152
2007,Brock Berlin,LA,153
2007,Alex Smith,SF,914
2007,Aaron Rodgers,GB,218
2007,Jason Campbell,WAS,2700
2007,Charlie Frye,CLE,34
2007,Andrew Walter,LV,38
2007,Kyle Orton,CHI,475
2007,Derek Anderson,CLE,3786
2007,Matt Cassel,NE,38
2007,Vince Young,TEN,2546
2007,Matt Leinart,ARI,647
2007,Jay Cutler,DEN,3497
2007,Kellen Clemens,NYJ,1529
2007,Tarvaris Jackson,MIN,1911
2007,Brodie Croyle,KC,1227
2007,Bruce Gradkowski,TB,130
2007,Matt Gutierrez,NE,15
2007,JaMarcus Russell,LV,373
2007,Brady Quinn,CLE,45
2007,Kevin Kolb,PHI,0
2007,John Beck,MIA,559
2007,Trent Edwards,BUF,1630
2007,Troy Smith,BAL,452
2007,Tyler Thigpen,KC,41
2007,Matt Moore,CAR,730
2008,Kerry Collins,TEN,2681
2008,Daunte Culpepper,DET,786
2008,Jake Delhomme,CAR,3284
2008,Brett Favre,NYJ,3472
2008,Gus Frerotte,MIN,2157
2008,Jeff Garcia,TB,2712
2008,Trent Green,LA,525
2008,Brian Griese,TB,1073
2008,Matt Hasselbeck,SEA,1216
2008,Damon Huard,KC,477
2008,Brad Johnson,DAL,427
2008,Jon Kitna,DET,758
2008,Peyton Manning,IND,4002
2008,Donovan McNabb,PHI,3914
2008,Kurt Warner,ARI,4582
2008,Chad Pennington,MIA,3653
2008,Tom Brady,NE,76
2008,Marc Bulger,LA,2727
2008,Marques Tuiasosopo,LV,4
2008,Sage Rosenfels,HOU,1431
2008,Drew Brees,NO,5069
2008,Cleo Lemon,JAX,0
2008,David Carr,NYG,115
2008,Quinn Gray,KC,76
2008,Shaun Hill,SF,2046
2008,Josh McCown,CAR,0
2008,David Garrard,JAX,3620
2008,J.T. O'Sullivan,SF,1678
2008,Patrick Ramsey,DEN,19
2008,Carson Palmer,CIN,736
2008,Tony Romo,DAL,3448
2008,Chris Simms,TEN,7
2008,Brooks Bollinger,DAL,71
2008,Ken Dorsey,CLE,374
2008,Seneca Wallace,SEA,1532
2008,Rex Grossman,CHI,257
2008,Byron Leftwich,PIT,303
2008,Drew Henson,DET,20
2008,Jim Sorgi,IND,178
2008,Matt Schaub,HOU,3043
2008,Eli Manning,NYG,3238
2008,Luke McCown,TB,0
2008,J.P. Losman,BUF,584
2008,Ben Roethlisberger,PIT,3314
2008,Philip Rivers,LAC,4004
2008,Brock Berlin,LA,6
2008,Aaron Rodgers,GB,4038
2008,Jason Campbell,WAS,3245
2008,Charlie Frye,SEA,83
2008,Andrew Walter,LV,204
2008,Kyle Orton,CHI,2979
2008,Dan Orlovsky,DET,1616
2008,Derek Anderson,CLE,1615
2008,Matt Cassel,NE,3693
2008,Ryan Fitzpatrick,CIN,1905
2008,Vince Young,TEN,219
2008,Matt Leinart,ARI,264
2008,Jay Cutler,DEN,4525
2008,Kellen Clemens,NYJ,26
2008,Tarvaris Jackson,MIN,1056
2008,Brodie Croyle,KC,151
2008,Bruce Gradkowski,CLE,26
2008,JaMarcus Russell,LV,2423
2008,Brady Quinn,CLE,518
2008,Kevin Kolb,PHI,144
2008,Drew Stanton,DET,119
2008,Trent Edwards,BUF,2699
2008,Troy Smith,BAL,82
2008,Jordan Palmer,CIN,41
2008,Tyler Thigpen,KC,2608
2008,Matt Ryan,ATL,3440
2008,Joe Flacco,BAL,2971
2008,Chad Henne,MIA,67
2008,Kevin O'Connell,NE,23
2008,Dennis Dixon,PIT,3
2008,Matt Flynn,GB,6
2009,Charlie Batch,PIT,17
2009,Mark Brunell,NO,102
2009,Kerry Collins,TEN,1225
2009,Todd Collins,WAS,144
2009,Daunte Culpepper,DET,945
2009,Jake Delhomme,CAR,2015
2009,Brett Favre,MIN,4202
2009,Jeff Garcia,PHI,0
2009,Matt Hasselbeck,SEA,3029
2009,Peyton Manning,IND,4500
